Task,#,Stage,Status,Depends on,Assigned,Description
Node.js + Express + Supabase Backend (Feature-Based Architecture),1,1. Project Foundation,Done,,,"Build a production-grade REST API backend using Node.js, Express, and Supabase with Feature-Based Architecture. Covers: Auth, Products, Cart, Orders, Wishlist, Notifications, Users, Admin."
Next.js 14 Frontend (React + TypeScript + Tailwind + i18n),2,1. Project Foundation,Done,,,"Build a production-grade frontend using Next.js 14 App Router, TypeScript, Tailwind CSS, Zustand, TanStack Query, and next-intl. Covers: Auth, Products, Cart, Checkout, Orders, Wishlist, Notifications, Profile, Admin Panel, AR/EN RTL/LTR."
Project Initialization,3,1. Project Foundation,Done,,,"Create Flutter project, add dependencies: supabase_flutter, flutter_riverpod, riverpod_annotation, go_router, envied. Configure dart-define environments (.http://env.dev, .http://env.prod). Enable null safety."
Configure Feature-First Folder Structure,4,1. Project Foundation,Done,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),,"Setup lib/features/{feature}/data/{datasource,models,mappers,repositories}/, logic/{contracts,entities,providers,notifiers,states}/, ui/{screens,widgets}/ per feature. lib/core/: supabase/, router/, theme/, utils/, widgets/."
Create Users Table,5,2. Database Design (Supabase),Done,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),Ahmed Alalawi,"Create users table: id (uuid FK auth.users), email, full_name, phone, avatar_url, role (user/admin), created_at. Enable RLS: users can read/update own row only."
Setup Riverpod Architecture,6,1. Project Foundation,Done,Configure Feature-First Folder Structure (Configure%20Feature-First%20Folder%20Structure%20e45d60e94f454efaa9529ccdd2080f84.csv),Ahmed Alalawi,Wrap app in ProviderScope. Setup AsyncNotifier base pattern. Configure go_router with GoRouter provider watching auth state. Define AppRouter in core/router/app_router.dart.
Create Categories Table,7,2. Database Design (Supabase),Done,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),Ahmed Alalawi,"categories: id, name_en, name_ar, slug, image_url, parent_id (self-ref nullable), is_active, sort_order. RLS: public read, admin write only."
Setup Supabase Connection,8,1. Project Foundation,Done,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Ahmed Alalawi,Initialize Supabase in main.dart. Create core/supabase/supabase_service.dart as singleton. Expose SupabaseClient via Riverpod provider in core/supabase/supabase_provider.dart.
Create Products Table,9,2. Database Design (Supabase),Done,Create Categories Table (Create%20Categories%20Table%206c200abc2dfb4281a333d102543f0f3a.csv),Ahmed Alalawi,"products: id, category_id (FK), name_en, name_ar, description_en, description_ar, base_price, discount_price, images (text[]), is_active, is_featured, sort_order, created_at. RLS: public read, admin write."
Create Product Variants Table,10,2. Database Design (Supabase),Done,Create Products Table (Create%20Products%20Table%20a50184bf176249daa1ae97074475b07b.csv),Ahmed Alalawi,"product_variants: id, product_id (FK), sku (unique), size, color_en, color_ar, color_hex, price, discount_price, stock, is_active, sort_order. RLS: public read, admin write."
