Task,#,Assigned,Depends on,Description,Stage,Status
Setup Riverpod Architecture,6,Ahmed Alalawi,Configure Feature-First Folder Structure (Configure%20Feature-First%20Folder%20Structure%20e45d60e94f454efaa9529ccdd2080f84.csv),Wrap app in ProviderScope. Setup AsyncNotifier base pattern. Configure go_router with GoRouter provider watching auth state. Define AppRouter in core/router/app_router.dart.,1. Project Foundation,Done
Configure Feature-First Folder Structure,4,,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),"Setup lib/features/{feature}/data/{datasource,models,mappers,repositories}/, logic/{contracts,entities,providers,notifiers,states}/, ui/{screens,widgets}/ per feature. lib/core/: supabase/, router/, theme/, utils/, widgets/.",1. Project Foundation,Done
Setup Supabase Connection,8,Ahmed Alalawi,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),Initialize Supabase in main.dart. Create core/supabase/supabase_service.dart as singleton. Expose SupabaseClient via Riverpod provider in core/supabase/supabase_provider.dart.,1. Project Foundation,Done
Project Initialization,3,,,"Create Flutter project, add dependencies: supabase_flutter, flutter_riverpod, riverpod_annotation, go_router, envied. Configure dart-define environments (.http://env.dev, .http://env.prod). Enable null safety.",1. Project Foundation,Done
Core — Localization (AR/EN + RTL/LTR),26,Ahmed Alalawi,Project Initialization (Project%20Initialization%206e1e261fb7694c4bb88bd7cf7c1c80cc.csv),"core/l10n/: app_en.arb, app_ar.arb. Configure flutter_localizations + intl. Create LocaleNotifier (StateNotifier) in core/providers/locale_provider.dart. Wrap MaterialApp with localizationsDelegates and locale from provider. Handle RTL/LTR via Directionality based on locale.",1. Project Foundation,Todo
Create Users Table,5,Ahmed Alalawi,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),"Create users table: id (uuid FK auth.users), email, full_name, phone, avatar_url, role (user/admin), created_at. Enable RLS: users can read/update own row only.",2. Database Design (Supabase),Done
Create Categories Table,7,Ahmed Alalawi,Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv),"categories: id, name_en, name_ar, slug, image_url, parent_id (self-ref nullable), is_active, sort_order. RLS: public read, admin write only.",2. Database Design (Supabase),Done
Create Products Table,9,Ahmed Alalawi,Create Categories Table (Create%20Categories%20Table%206c200abc2dfb4281a333d102543f0f3a.csv),"products: id, category_id (FK), name_en, name_ar, description_en, description_ar, base_price, discount_price, images (text[]), is_active, is_featured, sort_order, created_at. RLS: public read, admin write.",2. Database Design (Supabase),Done
Create Product Variants Table,10,Ahmed Alalawi,Create Products Table (Create%20Products%20Table%20a50184bf176249daa1ae97074475b07b.csv),"product_variants: id, product_id (FK), sku (unique), size, color_en, color_ar, color_hex, price, discount_price, stock, is_active, sort_order. RLS: public read, admin write.",2. Database Design (Supabase),Done
"Create Remaining Tables (cart_items, orders, order_items, wishlist, notifications) + RLS",11,Ahmed Alalawi,Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv),"cart_items: id, user_id (FK), variant_id (FK product_variants), quantity, created_at. Unique constraint (user_id, variant_id). RLS: users access own rows only. orders: id, user_id, status (enum), total_amount, shipping_address (jsonb), created_at. order_items: id, order_id, variant_id, quantity, unit_price. wishlist: id, user_id, product_id, created_at. Unique (user_id, product_id). notifications: id, user_id, title, body, type, is_read, order_id (nullable), created_at. RLS: users access own rows only across all tables.",2. Database Design (Supabase),Done
Core — Theme System & Shared Widgets,31,Ahmed Alalawi,Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv),"core/theme/app_theme.dart: ThemeData (light + dark), color scheme, text theme (Google Fonts), input decoration theme, button themes, card theme. core/widgets/: app_button.dart, app_text_field.dart, app_loading.dart, app_error_widget.dart, app_empty_state.dart, cached_network_image_widget.dart. No hardcoded colors anywhere — all from ThemeData.",2. Database Design (Supabase),Todo
Profile — Data + Logic + UI,32,Ahmed Alalawi,"Core — Theme System & Shared Widgets (Core%20%E2%80%94%20Theme%20System%20&%20Shared%20Widgets%20b10acf055c3e44718ccdb2eeb49fe296.csv), Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv)","profile/data/datasource/profile_remote_datasource.dart (getProfile, updateProfile, uploadAvatar). profile/data/models/profile_model.dart. profile/data/mappers/profile_mapper.dart. profile/data/repositories/profile_repository_impl.dart. profile/logic/contracts/profile_repository.dart. profile/logic/entities/profile_entity.dart. profile/logic/states/profile_state.dart. profile/logic/notifiers/profile_notifier.dart. profile/logic/providers/profile_provider.dart. profile/ui/screens/: profile_screen.dart, edit_profile_screen.dart. profile/ui/widgets/avatar_widget.dart.",2. Database Design (Supabase),Todo
Core — Navigation (GoRouter + Bottom Nav + Guards),33,Ahmed Alalawi,"Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv), Create Product Variants Table (Create%20Product%20Variants%20Table%2004e88ae73107484aac310afc7eaa3393.csv)","core/router/app_router.dart: define all named routes. Bottom navigation shell route wrapping: home, categories, cart, wishlist, profile. Auth guard redirect. Deep link support. Named route constants in app_routes.dart.",2. Database Design (Supabase),Todo
Admin — Dashboard (Data + Logic + UI),34,Ahmed Alalawi,Create Users Table (Create%20Users%20Table%204bb2ceccefd942729123571eecc7859e.csv),"admin_dashboard/data/datasource/dashboard_remote_datasource.dart (totalOrders, totalRevenue, totalUsers, totalProducts, recentOrders). admin_dashboard/data/models+mappers+repositories. admin_dashboard/logic/contracts+entities+states+notifiers+providers. admin_dashboard/ui/screens/dashboard_screen.dart. admin_dashboard/ui/widgets/: stat_card.dart, recent_orders_table.dart.",9. Admin Panel (Web),Todo
Auth — Data Layer (Datasource + Model + Mapper + Repo Impl),12,Ahmed Alalawi,Setup Riverpod Architecture (Setup%20Riverpod%20Architecture%204c6cb5c1244f417b9047f5c43b550068.csv),"auth/data/datasource/auth_remote_datasource.dart: signIn, signUp, signOut, getCurrentUser, authStateChanges (Supabase calls only). auth/data/models/user_model.dart (fromJson/toJson). auth/data/mappers/user_mapper.dart (UserModel -> UserEntity). auth/data/repositories/auth_repository_impl.dart (implements IAuthRepository).",3. Auth Feature,Done
Auth — Logic Layer (Contract + Entity + State + Notifier + Provider),13,Ahmed Alalawi,"Auth — Data Layer (Datasource + Model + Mapper + Repo Impl) (Auth%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%20618b726e2ca0468bb37b6d1ffd47fb7a.csv), Setup Supabase Connection (Setup%20Supabase%20Connection%205a2f8c2ad7dc43a0b1f33654596c0f60.csv)","auth/logic/contracts/auth_repository.dart (abstract IAuthRepository). auth/logic/entities/user_entity.dart. auth/logic/states/auth_state.dart (sealed: initial, loading, authenticated, unauthenticated, error). auth/logic/notifiers/auth_notifier.dart (AsyncNotifier: signIn, signUp, signOut). auth/logic/providers/auth_provider.dart (authNotifierProvider, currentUserProvider, authStateProvider).",3. Auth Feature,Done
Auth — UI Layer (Screens + Widgets),14,Ahmed Alalawi,Auth — Data Layer (Datasource + Model + Mapper + Repo Impl) (Auth%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%20618b726e2ca0468bb37b6d1ffd47fb7a.csv),"auth/ui/screens/: login_screen.dart, register_screen.dart, splash_screen.dart. auth/ui/widgets/: auth_text_field.dart, auth_button.dart. GoRouter redirect watches authStateProvider.",3. Auth Feature,Done
Product — Data Layer (Datasource + Models + Mappers + Repo Impl),15,Ahmed Alalawi,Auth — UI Layer (Screens + Widgets) (Auth%20%E2%80%94%20UI%20Layer%20(Screens%20+%20Widgets)%20503cdf608a4048f5a3f834c716325158.csv),"product/data/datasource/product_remote_datasource.dart: getProducts, getProductById, getProductsByCategory, searchProducts (Supabase). product/data/models/: product_model.dart, category_model.dart, product_variant_model.dart (fromJson/toJson). product/data/mappers/: product_mapper.dart, category_mapper.dart, variant_mapper.dart. product/data/repositories/product_repository_impl.dart.",3. Auth Feature,Done
Product — Logic Layer (Contract + Entities + State + Notifier + Providers),16,Ahmed Alalawi,Setup Riverpod Architecture (Setup%20Riverpod%20Architecture%204c6cb5c1244f417b9047f5c43b550068.csv),"product/logic/contracts/product_repository.dart (abstract IProductRepository). product/logic/entities/: product_entity.dart, category_entity.dart, product_variant_entity.dart. product/logic/states/product_state.dart (sealed). product/logic/notifiers/product_notifier.dart. product/logic/providers/product_provider.dart (productsProvider, productDetailProvider, categoriesProvider, searchProvider).",4. Product Feature,Done
Product — UI Layer (Screens + Widgets),17,Ahmed Alalawi,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),"product/ui/screens/: home_screen.dart, product_list_screen.dart, product_detail_screen.dart, search_screen.dart. product/ui/widgets/: product_card.dart, product_grid.dart, category_selector.dart, variant_selector.dart, image_carousel.dart.",4. Product Feature,Done
Cart — Data Layer (Datasource + Model + Mapper + Repo Impl),18,Ahmed Alalawi,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),"cart/data/datasource/cart_remote_datasource.dart: getCart, addToCart, updateQuantity, removeFromCart, clearCart (Supabase). cart/data/models/cart_item_model.dart. cart/data/mappers/cart_item_mapper.dart. cart/data/repositories/cart_repository_impl.dart.",4. Product Feature,Done
Admin — Product (Data + Logic + UI),29,Ahmed Alalawi,Cart — Data Layer (Datasource + Model + Mapper + Repo Impl) (Cart%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Model%20+%20Mapper%20+%20R%2076cb4192a6c0478b82949d1efb10574d.csv),"admin_product/data/datasource/admin_product_remote_datasource.dart (getProducts, createProduct, updateProduct, deactivate, manageVariants). admin_product/data/models+mappers+repositories. admin_product/logic/contracts+entities+states+notifiers+providers. admin_product/ui/screens/: admin_products_screen.dart, admin_product_form_screen.dart, admin_variants_screen.dart. admin_product/ui/widgets/.",9. Admin Panel (Web),Todo
Cart — UI Layer (Screens + Widgets),20,,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),"cart/ui/screens/cart_screen.dart. cart/ui/widgets/: cart_item_tile.dart, cart_summary_card.dart, quantity_selector.dart, empty_cart_view.dart.",5. Cart Feature,Done
Cart — Logic Layer (Contract + Entity + State + Notifier + Providers),19,Ahmed Alalawi,Product — Logic Layer (Contract + Entities + State + Notifier + Providers) (Product%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entities%20+%20State%2017fabecf50db47a98dc85ea3a57b8602.csv),"cart/logic/contracts/cart_repository.dart (abstract ICartRepository). cart/logic/entities/cart_item_entity.dart. cart/logic/states/cart_state.dart (sealed). cart/logic/notifiers/cart_notifier.dart (AsyncNotifier: add, remove, updateQuantity, clear). cart/logic/providers/cart_provider.dart (cartProvider, cartTotalProvider, cartCountProvider).",5. Cart Feature,Done
Order — Data Layer (Datasource + Models + Mappers + Repo Impl),21,Ahmed Alalawi,Cart — Logic Layer (Contract + Entity + State + Notifier + Providers) (Cart%20%E2%80%94%20Logic%20Layer%20(Contract%20+%20Entity%20+%20State%20+%20No%2085b6bd9a009f42bd959cd5d4b4225fe0.csv),"order/data/datasource/order_remote_datasource.dart: placeOrder (RPC), getOrders, getOrderById, cancelOrder. order/data/models/: order_model.dart, order_item_model.dart. order/data/mappers/: order_mapper.dart, order_item_mapper.dart. order/data/repositories/order_repository_impl.dart.",5. Cart Feature,Done
Admin — Orders (Data + Logic + UI),30,Ahmed Alalawi,Order — Data Layer (Datasource + Models + Mappers + Repo Impl) (Order%20%E2%80%94%20Data%20Layer%20(Datasource%20+%20Models%20+%20Mappers%20%20979d0903212b41b9a45d149a1498a70a.csv),"admin_order/data/datasource/admin_order_remote_datasource.dart (getOrders paginated, updateStatus, getOrderDetail). admin_order/data/models+mappers+repositories. admin_order/logic/contracts+entities+states+notifiers+providers. admin_order/ui/screens/: admin_orders_screen.dart, admin_order_detail_screen.dart. admin_order/ui/widgets/.",9. Admin Panel (Web),Todo
